n,t,i,l
1024,0.197728,0,naive
1024,0.194688,1,naive
1024,0.192960,2,naive
1024,0.192352,3,naive
1024,0.192544,4,naive
2048,0.752128,0,naive
2048,0.742976,1,naive
2048,0.741376,2,naive
2048,0.741664,3,naive
2048,0.741024,4,naive
3072,1.741312,0,naive
3072,1.726592,1,naive
3072,1.720128,2,naive
3072,1.726400,3,naive
3072,1.718496,4,naive
4096,2.930560,0,naive
4096,2.925984,1,naive
4096,2.924800,2,naive
4096,2.935328,3,naive
4096,2.932768,4,naive
5120,5.012928,0,naive
5120,5.037248,1,naive
5120,4.989312,2,naive
5120,4.989216,3,naive
5120,4.995040,4,naive
6144,6.880672,0,naive
6144,6.871072,1,naive
6144,6.896608,2,naive
6144,6.853344,3,naive
6144,6.863936,4,naive
7168,9.327232,0,naive
7168,9.293024,1,naive
7168,9.303136,2,naive
7168,9.304448,3,naive
7168,9.306176,4,naive
8192,11.704896,0,naive
8192,11.711680,1,naive
8192,11.705152,2,naive
8192,11.702272,3,naive
8192,11.708064,4,naive
9216,12.938592,0,naive
9216,12.919456,1,naive
9216,12.900352,2,naive
9216,12.887808,3,naive
9216,12.966624,4,naive
10240,13.701312,0,naive
10240,13.706528,1,naive
10240,13.736608,2,naive
10240,13.700256,3,naive
10240,13.726304,4,naive
1028,0.145152,0,shared
1028,0.142784,1,shared
1028,0.141408,2,shared
1028,0.141344,3,shared
1028,0.139744,4,shared
2056,0.542912,0,shared
2056,0.534048,1,shared
2056,0.530464,2,shared
2056,0.532352,3,shared
2056,0.529696,4,shared
3084,1.196128,0,shared
3084,1.198112,1,shared
3084,1.195648,2,shared
3084,1.198112,3,shared
3084,1.198112,4,shared
4112,2.069984,0,shared
4112,2.067200,1,shared
4112,2.070944,2,shared
4112,2.074656,3,shared
4112,2.071712,4,shared
5140,3.302176,0,shared
5140,3.309888,1,shared
5140,3.300352,2,shared
5140,3.303232,3,shared
5140,3.301408,4,shared
6168,4.687744,0,shared
6168,4.690784,1,shared
6168,4.694048,2,shared
6168,4.685472,3,shared
6168,4.687232,4,shared
7196,6.509216,0,shared
7196,6.508544,1,shared
7196,6.506496,2,shared
7196,6.498336,3,shared
7196,6.494144,4,shared
8224,8.245600,0,shared
8224,8.243200,1,shared
8224,8.241472,2,shared
8224,8.252960,3,shared
8224,8.247904,4,shared
9252,8.686752,0,shared
9252,8.683744,1,shared
9252,8.690848,2,shared
9252,8.689344,3,shared
9252,8.685568,4,shared
10280,9.268992,0,shared
10280,9.260480,1,shared
10280,9.269216,2,shared
10280,9.255008,3,shared
10280,9.256064,4,shared